experiment,geometry,target,feature,pearson_r,p_value,significant,direction,n
HP,unlearned,Embedding,centrality_min,-0.0008062157978506821,0.993648270247342,False,-,100
HP,unlearned,Embedding,isolation_mean,,,False,-,100
HP,unlearned,Embedding,isolation_std,,,False,-,100
HP,unlearned,Embedding,isolation_max,,,False,-,100
HP,unlearned,Embedding,isolation_min,,,False,-,100
HP,unlearned,Embedding,cluster_compactness_mean,,,False,-,100
HP,unlearned,Embedding,cluster_compactness_std,,,False,-,100
HP,unlearned,Embedding,cluster_compactness_max,,,False,-,100
HP,unlearned,Embedding,cluster_compactness_min,,,False,-,100
HP,unlearned,Embedding,cross_layer_consistency_mean,-0.17869203797474928,0.07527246899481305,False,-,100
HP,unlearned,Embedding,cross_layer_consistency_std,0.14944820880388926,0.13779812139157205,False,+,100
HP,unlearned,Embedding,cross_layer_consistency_max,-0.17869203797474928,0.07527246899481305,False,-,100
HP,unlearned,Embedding,cross_layer_consistency_min,-0.17869203797474928,0.07527246899481305,False,-,100
HP,unlearned,Steering,local_density_mean,-0.0614901864250092,0.5433555917727054,False,-,100
HP,unlearned,Steering,local_density_std,-0.04272147495888562,0.6729984686291175,False,-,100
HP,unlearned,Steering,local_density_max,-0.05479108996320962,0.5882117326972134,False,-,100
HP,unlearned,Steering,local_density_min,-0.0384167546400526,0.7043331279303284,False,-,100
HP,unlearned,Steering,separability_mean,0.1341271948407038,0.1833769260325612,False,+,100
HP,unlearned,Steering,separability_std,0.2673752836140174,0.007160525957345126,True,+,100
HP,unlearned,Steering,separability_max,0.1509459425419429,0.133851481006006,False,+,100
HP,unlearned,Steering,separability_min,0.04145898730077533,0.682133426511577,False,+,100
HP,unlearned,Steering,centrality_mean,0.03507725856098624,0.7289901590816618,False,+,100
HP,unlearned,Steering,centrality_std,-0.13852653545160346,0.1692909020993064,False,-,100
HP,unlearned,Steering,centrality_max,-0.09058847064035346,0.3700710653307434,False,-,100
HP,unlearned,Steering,centrality_min,0.15198495789984984,0.1311645859287907,False,+,100
HP,unlearned,Steering,isolation_mean,,,False,-,100
HP,unlearned,Steering,isolation_std,,,False,-,100
HP,unlearned,Steering,isolation_max,,,False,-,100
HP,unlearned,Steering,isolation_min,,,False,-,100
HP,unlearned,Steering,cluster_compactness_mean,,,False,-,100
HP,unlearned,Steering,cluster_compactness_std,,,False,-,100
HP,unlearned,Steering,cluster_compactness_max,,,False,-,100
HP,unlearned,Steering,cluster_compactness_min,,,False,-,100
HP,unlearned,Steering,cross_layer_consistency_mean,0.00716021768105977,0.9436342474107972,False,+,100
HP,unlearned,Steering,cross_layer_consistency_std,0.10432617116338151,0.3016192264228952,False,+,100
HP,unlearned,Steering,cross_layer_consistency_max,0.00716021768105977,0.9436342474107972,False,+,100
HP,unlearned,Steering,cross_layer_consistency_min,0.00716021768105977,0.9436342474107972,False,+,100
HP,unlearned,Prompt,local_density_mean,-0.1218796468678907,0.22705400283674795,False,-,100
HP,unlearned,Prompt,local_density_std,-0.07174913249334995,0.47808515966726656,False,-,100
HP,unlearned,Prompt,local_density_max,-0.10390477687439037,0.3035867838148163,False,-,100
HP,unlearned,Prompt,local_density_min,-0.09130823120134461,0.36626492292712953,False,-,100
HP,unlearned,Prompt,separability_mean,0.1693114134843571,0.09217998412307117,False,+,100
HP,unlearned,Prompt,separability_std,0.272890777279971,0.006015396861957769,True,+,100
HP,unlearned,Prompt,separability_max,0.1877885021331245,0.06135106426473558,False,+,100
HP,unlearned,Prompt,separability_min,0.0790714491779388,0.434215314758845,False,+,100
HP,unlearned,Prompt,centrality_mean,0.012247511990613039,0.9037386975252625,False,+,100
HP,unlearned,Prompt,centrality_std,-0.10632223669016233,0.29241307552237134,False,-,100
HP,unlearned,Prompt,centrality_max,-0.1201622039261237,0.23371835400791557,False,-,100
HP,unlearned,Prompt,centrality_min,0.11261601423013418,0.2646128664524936,False,+,100
HP,unlearned,Prompt,isolation_mean,,,False,-,100
HP,unlearned,Prompt,isolation_std,,,False,-,100
