experiment,geometry,target,model,n_features,cv_r2_mean,cv_r2_std,top_features,n_samples
TOFU_KL,base,Unlearning,Ridge,24,-0.010526315789473717,0.021052631578947434,"[('separability_mean', -0.044247557205702476), ('separability_max', 0.0301084034573515), ('local_density_min', 0.02691033622252769), ('centrality_std', -0.026467295361048006), ('separability_std', -0.01962538979953541)]",100
TOFU_KL,base,Unlearning,Lasso,24,-0.010526315789473717,0.021052631578947434,"[('local_density_mean', 0.0), ('local_density_std', 0.0), ('local_density_max', 0.0), ('local_density_min', 0.0), ('separability_mean', 0.0)]",100
TOFU_KL,base,Unlearning,RandomForest,24,-0.010526315789473717,0.021052631578947434,"[('local_density_std', 0.21488137579955094), ('centrality_std', 0.16432268855413015), ('centrality_min', 0.1508105918902497), ('local_density_max', 0.12369228262868741), ('local_density_mean', 0.11210414436220877)]",100
TOFU_KL,base,Extraction,Ridge,24,-0.010526315789473762,0.02105263157894752,"[('separability_mean', 0.04765121545229496), ('separability_max', -0.03242443449253242), ('local_density_min', -0.02898036208579917), ('centrality_std', 0.028503241158051685), ('separability_std', 0.021135035168730467)]",100
TOFU_KL,base,Extraction,Lasso,24,-0.010526315789473762,0.02105263157894752,"[('local_density_mean', 0.0), ('local_density_std', 0.0), ('local_density_max', 0.0), ('local_density_min', 0.0), ('separability_mean', 0.0)]",100
TOFU_KL,base,Extraction,RandomForest,24,-0.010526315789473762,0.02105263157894752,"[('local_density_std', 0.21488137579955088), ('local_density_max', 0.20189365115263644), ('centrality_std', 0.16432268855413035), ('local_density_mean', 0.11210414436220889), ('centrality_max', 0.10182142648677647)]",100
TOFU_KL,unlearned,Unlearning,Ridge,24,-0.010526315789473717,0.021052631578947434,"[('local_density_mean', 0.025760232114853978), ('local_density_max', -0.023619534632564086), ('local_density_std', 0.019925493188369996), ('separability_mean', 0.01673434226889116), ('cross_layer_consistency_std', 0.009464173989213119)]",100
TOFU_KL,unlearned,Unlearning,Lasso,24,-0.010526315789473717,0.021052631578947434,"[('local_density_mean', 0.0), ('local_density_std', 0.0), ('local_density_max', 0.0), ('local_density_min', 0.0), ('separability_mean', 0.0)]",100
TOFU_KL,unlearned,Unlearning,RandomForest,24,-0.010526315789473717,0.021052631578947434,"[('local_density_max', 0.7419354838709677), ('local_density_std', 0.16129032258064516), ('local_density_mean', 0.0967741935483871), ('local_density_min', 0.0), ('separability_mean', 0.0)]",100
TOFU_KL,unlearned,Extraction,Ridge,24,-0.010526315789473762,0.02105263157894752,"[('local_density_mean', -0.027741788431381014), ('local_density_max', 0.02543642191199182), ('local_density_std', -0.02145822343362915), ('separability_mean', -0.01802159936649814), ('cross_layer_consistency_std', -0.010192187372998745)]",100
TOFU_KL,unlearned,Extraction,Lasso,24,-0.010526315789473762,0.02105263157894752,"[('local_density_mean', 0.0), ('local_density_std', 0.0), ('local_density_max', 0.0), ('local_density_min', 0.0), ('separability_mean', 0.0)]",100
