experiment,geometry,target,feature_group,model,n_features,cv_r2_mean,cv_r2_std,n_samples
TOFU_idk,base,Extraction,compactness,LinearRegression,4,-0.2929219649989753,0.32912806142559214,100
TOFU_idk,base,Extraction,compactness,Ridge,4,-0.2929219649989753,0.32912806142559214,100
TOFU_idk,base,Extraction,consistency,LinearRegression,4,-0.30174803216262513,0.3690737111677066,100
TOFU_idk,base,Extraction,consistency,Ridge,4,-0.3013910732754719,0.3687685425394298,100
TOFU_idk,unlearned,Unlearning,density,LinearRegression,4,-0.16775670320849273,0.30157883540408914,100
TOFU_idk,unlearned,Unlearning,density,Ridge,4,-0.1618747040190243,0.2959430174495171,100
TOFU_idk,unlearned,Unlearning,separability,LinearRegression,4,-0.15590614535570893,0.17797685842820485,100
TOFU_idk,unlearned,Unlearning,separability,Ridge,4,-0.14202808757609459,0.16477502404606129,100
TOFU_idk,unlearned,Unlearning,centrality,LinearRegression,4,-0.35470198670535896,0.5656784835967579,100
TOFU_idk,unlearned,Unlearning,centrality,Ridge,4,-0.3483291328003328,0.5560149047410983,100
TOFU_idk,unlearned,Unlearning,isolation,LinearRegression,4,-0.21467711608004958,0.1560876396423154,100
TOFU_idk,unlearned,Unlearning,isolation,Ridge,4,-0.21467711608004958,0.1560876396423154,100
TOFU_idk,unlearned,Unlearning,compactness,LinearRegression,4,-0.21467711608004958,0.1560876396423154,100
TOFU_idk,unlearned,Unlearning,compactness,Ridge,4,-0.21467711608004958,0.1560876396423154,100
TOFU_idk,unlearned,Unlearning,consistency,LinearRegression,4,-0.23411019009390915,0.14334179962054083,100
TOFU_idk,unlearned,Unlearning,consistency,Ridge,4,-0.23376712976826788,0.14354589477923188,100
TOFU_idk,unlearned,Extraction,density,LinearRegression,4,-0.32787734047093203,0.5567776416099984,100
TOFU_idk,unlearned,Extraction,density,Ridge,4,-0.30728233244998115,0.544727359407231,100
TOFU_idk,unlearned,Extraction,separability,LinearRegression,4,-0.20675766211228908,0.2636668652319824,100
TOFU_idk,unlearned,Extraction,separability,Ridge,4,-0.2041174664192452,0.28943515314868185,100
TOFU_idk,unlearned,Extraction,centrality,LinearRegression,4,-0.3490288777361382,0.29537229743276205,100
TOFU_idk,unlearned,Extraction,centrality,Ridge,4,-0.33840905467440535,0.28349325504517137,100
TOFU_idk,unlearned,Extraction,isolation,LinearRegression,4,-0.2929219649989753,0.32912806142559214,100
TOFU_idk,unlearned,Extraction,isolation,Ridge,4,-0.2929219649989753,0.32912806142559214,100
TOFU_idk,unlearned,Extraction,compactness,LinearRegression,4,-0.2929219649989753,0.32912806142559214,100
TOFU_idk,unlearned,Extraction,compactness,Ridge,4,-0.2929219649989753,0.32912806142559214,100
TOFU_idk,unlearned,Extraction,consistency,LinearRegression,4,-0.30016132543830054,0.33981078418415533,100
TOFU_idk,unlearned,Extraction,consistency,Ridge,4,-0.29967765599497553,0.33992336165476184,100
