experiment,geometry,target,feature,pearson_r,pearson_p,spearman_r,spearman_p,significant_pearson,significant_spearman,direction,n_samples
HP,unlearned,Unlearning,cross_layer_consistency_min,-0.015383976721292502,0.8792542975410197,-0.029575044479465157,0.7702132027857334,False,False,negative,100
HP,unlearned,Extraction,local_density_mean,-0.0614901864250092,0.5433555917727054,-0.18720568841677845,0.06217507985300895,False,False,negative,100
HP,unlearned,Extraction,local_density_std,-0.04272147495888562,0.6729984686291175,-0.09979775741955334,0.32320190173929997,False,False,negative,100
HP,unlearned,Extraction,local_density_max,-0.05479108996320962,0.5882117326972134,-0.1626004109069548,0.1060214120615275,False,False,negative,100
HP,unlearned,Extraction,local_density_min,-0.0384167546400526,0.7043331279303284,-0.11176541197860221,0.2682614265849811,False,False,negative,100
HP,unlearned,Extraction,separability_mean,0.1341271948407038,0.1833769260325612,0.08290170523917834,0.4122120673974986,False,False,positive,100
HP,unlearned,Extraction,separability_std,0.2673752836140174,0.007160525957345126,0.17078687399489312,0.08933754689242454,True,False,positive,100
HP,unlearned,Extraction,separability_max,0.1509459425419429,0.133851481006006,0.14531889746010734,0.14913640785625362,False,False,positive,100
HP,unlearned,Extraction,separability_min,0.04145898730077533,0.682133426511577,-0.022824813564689087,0.8216620095151166,False,False,positive,100
HP,unlearned,Extraction,centrality_mean,0.03507725856098624,0.7289901590816618,0.07033750348201737,0.48680852244812867,False,False,positive,100
HP,unlearned,Extraction,centrality_std,-0.13852653545160346,0.1692909020993064,-0.06484926925938604,0.521513082140383,False,False,negative,100
HP,unlearned,Extraction,centrality_max,-0.09058847064035346,0.3700710653307434,-0.01586815546978184,0.8754841369847697,False,False,negative,100
HP,unlearned,Extraction,centrality_min,0.15198495789984984,0.1311645859287907,0.06351851012513599,0.5301128804966759,False,False,positive,100
HP,unlearned,Extraction,isolation_mean,,,,,False,False,negative,100
HP,unlearned,Extraction,isolation_std,,,,,False,False,negative,100
HP,unlearned,Extraction,isolation_max,,,,,False,False,negative,100
HP,unlearned,Extraction,isolation_min,,,,,False,False,negative,100
HP,unlearned,Extraction,cluster_compactness_mean,,,,,False,False,negative,100
HP,unlearned,Extraction,cluster_compactness_std,,,,,False,False,negative,100
HP,unlearned,Extraction,cluster_compactness_max,,,,,False,False,negative,100
HP,unlearned,Extraction,cluster_compactness_min,,,,,False,False,negative,100
HP,unlearned,Extraction,cross_layer_consistency_mean,0.00716021768105977,0.9436342474107972,-0.0067331593584083905,0.9469910524124798,False,False,positive,100
HP,unlearned,Extraction,cross_layer_consistency_std,0.10432617116338151,0.3016192264228952,0.07417800314177862,0.4632746558146901,False,False,positive,100
HP,unlearned,Extraction,cross_layer_consistency_max,0.00716021768105977,0.9436342474107972,-0.0067331593584083905,0.9469910524124798,False,False,positive,100
HP,unlearned,Extraction,cross_layer_consistency_min,0.00716021768105977,0.9436342474107972,-0.0067331593584083905,0.9469910524124798,False,False,positive,100
TOFU_grad_ascent,base,Unlearning,local_density_mean,0.09068943714082271,0.3695356936346191,0.11663786152919862,0.24781870856287777,False,False,positive,100
TOFU_grad_ascent,base,Unlearning,local_density_std,0.08297233040422619,0.41181256618476886,0.1270830431586791,0.20768074456073485,False,False,positive,100
TOFU_grad_ascent,base,Unlearning,local_density_max,0.09453082849475454,0.3495201172529767,0.12360131594885228,0.2205083073135767,False,False,positive,100
TOFU_grad_ascent,base,Unlearning,local_density_min,0.07111474770793214,0.4819949858970489,0.09574749827023767,0.34332470128024994,False,False,positive,100
TOFU_grad_ascent,base,Unlearning,separability_mean,0.01624403095386104,0.872559215599014,-0.0017408636049134124,0.9862852179005799,False,False,positive,100
TOFU_grad_ascent,base,Unlearning,separability_std,-0.05724289186048553,0.5716002948951275,-0.07833886222110356,0.4384985407608808,False,False,negative,100
TOFU_grad_ascent,base,Unlearning,separability_max,0.03680876937564663,0.7161692944841339,0.02611295407370118,0.7964914429897191,False,False,positive,100
TOFU_grad_ascent,base,Unlearning,separability_min,0.046500521103761974,0.6459415003405222,0.05396677175231578,0.5938455725990911,False,False,positive,100
TOFU_grad_ascent,base,Unlearning,centrality_mean,-0.13300784876359906,0.18709358596512274,-0.13404649757833276,0.1836430568962451,False,False,negative,100
TOFU_grad_ascent,base,Unlearning,centrality_std,0.024258014494649066,0.8106670703919798,0.036558135703181664,0.7180203247420442,False,False,positive,100
TOFU_grad_ascent,base,Unlearning,centrality_max,-0.14175960857461628,0.15946022606051455,-0.14797340641764004,0.14177002864729896,False,False,negative,100
TOFU_grad_ascent,base,Unlearning,centrality_min,-0.16979748652993185,0.09123578259691137,-0.17234549688642783,0.08641085291486844,False,False,negative,100
TOFU_grad_ascent,base,Unlearning,isolation_mean,,,,,False,False,negative,100
TOFU_grad_ascent,base,Unlearning,isolation_std,,,,,False,False,negative,100
TOFU_grad_ascent,base,Unlearning,isolation_max,,,,,False,False,negative,100
TOFU_grad_ascent,base,Unlearning,isolation_min,,,,,False,False,negative,100
TOFU_grad_ascent,base,Unlearning,cluster_compactness_mean,,,,,False,False,negative,100
TOFU_grad_ascent,base,Unlearning,cluster_compactness_std,,,,,False,False,negative,100
TOFU_grad_ascent,base,Unlearning,cluster_compactness_max,,,,,False,False,negative,100
TOFU_grad_ascent,base,Unlearning,cluster_compactness_min,,,,,False,False,negative,100
TOFU_grad_ascent,base,Unlearning,cross_layer_consistency_mean,0.030616116900540107,0.7623602203691849,0.040043467347720116,0.6924304358480551,False,False,positive,100
TOFU_grad_ascent,base,Unlearning,cross_layer_consistency_std,0.10744561274498142,0.2873144873530766,0.11261325526678877,0.2646246459998905,False,False,positive,100
TOFU_grad_ascent,base,Unlearning,cross_layer_consistency_max,0.030616116900540107,0.7623602203691849,0.040043467347720116,0.6924304358480551,False,False,positive,100
TOFU_grad_ascent,base,Unlearning,cross_layer_consistency_min,0.030616116900540107,0.7623602203691849,0.040043467347720116,0.6924304358480551,False,False,positive,100
TOFU_grad_ascent,base,Extraction,local_density_mean,-0.09032455520668016,0.371472707975474,-0.06779734848981084,0.5027166402101249,False,False,negative,100
TOFU_grad_ascent,base,Extraction,local_density_std,-0.08058061387614938,0.4254670966478253,-0.01895356530773544,0.8515277235907099,False,False,negative,100
TOFU_grad_ascent,base,Extraction,local_density_max,-0.09104524973768098,0.36765279021745934,-0.006656017059766101,0.9475975142771791,False,False,negative,100
TOFU_grad_ascent,base,Extraction,local_density_min,-0.07048335404946357,0.4859033133594505,-0.04790352798404153,0.6360102332643491,False,False,negative,100
TOFU_grad_ascent,base,Extraction,separability_mean,-0.017115694702910033,0.8657829198828837,2.4743557842996656e-05,0.9998050571250419,False,False,negative,100
TOFU_grad_ascent,base,Extraction,separability_std,0.06732588037265347,0.5056987650648468,0.1725863159549017,0.08596553520425475,False,False,positive,100
TOFU_grad_ascent,base,Extraction,separability_max,-0.030389123897949163,0.7640704449113301,0.07556682565251178,0.4549205358987437,False,False,negative,100
TOFU_grad_ascent,base,Extraction,separability_min,-0.0505748577369886,0.6172792595307633,-0.11589882493659633,0.25084830270209013,False,False,negative,100
TOFU_grad_ascent,base,Extraction,centrality_mean,0.14201254960202728,0.1587094412960938,0.21747112988209763,0.02974623250757128,False,True,positive,100
TOFU_grad_ascent,base,Extraction,centrality_std,-0.024245596953990492,0.8107621782830846,-0.02256612475281295,0.8236503120962596,False,False,negative,100
TOFU_grad_ascent,base,Extraction,centrality_max,0.14274757237474608,0.15654268459309187,0.11233575260720481,0.26581127733708065,False,False,positive,100
TOFU_grad_ascent,base,Extraction,centrality_min,0.17613060188745686,0.07962035189358171,0.2327131615133836,0.019808316994417128,False,True,positive,100
TOFU_grad_ascent,base,Extraction,isolation_mean,,,,,False,False,negative,100
TOFU_grad_ascent,base,Extraction,isolation_std,,,,,False,False,negative,100
TOFU_grad_ascent,base,Extraction,isolation_max,,,,,False,False,negative,100
TOFU_grad_ascent,base,Extraction,isolation_min,,,,,False,False,negative,100
TOFU_grad_ascent,base,Extraction,cluster_compactness_mean,,,,,False,False,negative,100
TOFU_grad_ascent,base,Extraction,cluster_compactness_std,,,,,False,False,negative,100
TOFU_grad_ascent,base,Extraction,cluster_compactness_max,,,,,False,False,negative,100
TOFU_grad_ascent,base,Extraction,cluster_compactness_min,,,,,False,False,negative,100
TOFU_grad_ascent,base,Extraction,cross_layer_consistency_mean,-0.03240056372647269,0.7489561097424661,-0.06426480438944641,0.5252813620126349,False,False,negative,100
TOFU_grad_ascent,base,Extraction,cross_layer_consistency_std,-0.10023723512946704,0.32106493525138036,0.026130041718654715,0.796361156740323,False,False,negative,100
TOFU_grad_ascent,base,Extraction,cross_layer_consistency_max,-0.03240056372647269,0.7489561097424661,-0.06426480438944641,0.5252813620126349,False,False,negative,100
TOFU_grad_ascent,base,Extraction,cross_layer_consistency_min,-0.03240056372647269,0.7489561097424661,-0.06426480438944641,0.5252813620126349,False,False,negative,100
TOFU_grad_ascent,unlearned,Unlearning,local_density_mean,0.16314253251462732,0.1048462764793394,0.17234549688642783,0.08641085291486844,False,False,positive,100
TOFU_grad_ascent,unlearned,Unlearning,local_density_std,0.16599030339296278,0.0988396469277667,0.17234549688642783,0.08641085291486844,False,False,positive,100
TOFU_grad_ascent,unlearned,Unlearning,local_density_max,0.20829211666462288,0.037562115985916425,0.17234549688642783,0.08641085291486844,True,False,positive,100
TOFU_grad_ascent,unlearned,Unlearning,local_density_min,0.13059660755196678,0.19528530101748517,0.14797340641764004,0.14177002864729896,False,False,positive,100
TOFU_grad_ascent,unlearned,Unlearning,separability_mean,0.07958453608784781,0.43122966959424425,0.1131561343193718,0.26231364556812775,False,False,positive,100
TOFU_grad_ascent,unlearned,Unlearning,separability_std,0.04854084026241624,0.6315200368060427,0.04352159012283531,0.667233485619981,False,False,positive,100
TOFU_grad_ascent,unlearned,Unlearning,separability_max,0.10629038407105397,0.29255850962690694,0.12011958873902545,0.23388543510981338,False,False,positive,100
TOFU_grad_ascent,unlearned,Unlearning,separability_min,0.04211787693516878,0.6773600861524984,0.10619267989971815,0.29300490996874506,False,False,positive,100
TOFU_grad_ascent,unlearned,Unlearning,centrality_mean,0.07657083631793316,0.448933568005,0.0853023166407572,0.39875990748105516,False,False,positive,100
TOFU_grad_ascent,unlearned,Unlearning,centrality_std,0.11620937963336093,0.24957213382646073,0.11663786152919862,0.24781870856287777,False,False,positive,100
TOFU_grad_ascent,unlearned,Unlearning,centrality_max,0.07768041356737032,0.4423686213798183,0.0853023166407572,0.39875990748105516,False,False,positive,100
TOFU_grad_ascent,unlearned,Unlearning,centrality_min,-0.0822558511459571,0.4158759147247474,-0.10271095268989133,0.30920643312196,False,False,negative,100
TOFU_grad_ascent,unlearned,Unlearning,isolation_mean,,,,,False,False,negative,100
TOFU_grad_ascent,unlearned,Unlearning,isolation_std,,,,,False,False,negative,100
TOFU_grad_ascent,unlearned,Unlearning,isolation_max,,,,,False,False,negative,100
TOFU_grad_ascent,unlearned,Unlearning,isolation_min,,,,,False,False,negative,100
TOFU_grad_ascent,unlearned,Unlearning,cluster_compactness_mean,,,,,False,False,negative,100
TOFU_grad_ascent,unlearned,Unlearning,cluster_compactness_std,,,,,False,False,negative,100
TOFU_grad_ascent,unlearned,Unlearning,cluster_compactness_max,,,,,False,False,negative,100
TOFU_grad_ascent,unlearned,Unlearning,cluster_compactness_min,,,,,False,False,negative,100
TOFU_grad_ascent,unlearned,Unlearning,cross_layer_consistency_mean,0.024260054434000058,0.8106514464397414,0.034832847420460375,0.7308060074783134,False,False,positive,100
TOFU_grad_ascent,unlearned,Unlearning,cross_layer_consistency_std,0.10404474413498169,0.3029323250383369,0.10996374164207676,0.2761014076869411,False,False,positive,100
TOFU_grad_ascent,unlearned,Unlearning,cross_layer_consistency_max,0.024260054434000058,0.8106514464397414,0.034832847420460375,0.7308060074783134,False,False,positive,100
TOFU_grad_ascent,unlearned,Unlearning,cross_layer_consistency_min,0.024260054434000058,0.8106514464397414,0.034832847420460375,0.7308060074783134,False,False,positive,100
TOFU_grad_ascent,unlearned,Extraction,local_density_mean,-0.15448442334937335,0.12486977594948577,-0.017147285585196684,0.865537512292877,False,False,negative,100
TOFU_grad_ascent,unlearned,Extraction,local_density_std,-0.16927320964804596,0.09225452178410311,-0.1886201414371635,0.06019068305031457,False,False,negative,100
TOFU_grad_ascent,unlearned,Extraction,local_density_max,-0.20155139596153393,0.0443401994589185,-0.02204651003811002,0.8276474689236986,True,False,negative,100
TOFU_grad_ascent,unlearned,Extraction,local_density_min,-0.12047899332445386,0.23247893077775064,0.010144858715628629,0.9202048440495881,False,False,negative,100
TOFU_grad_ascent,unlearned,Extraction,separability_mean,-0.07484701016379204,0.45923994026160647,0.015538954325401902,0.8780472340407359,False,False,negative,100
TOFU_grad_ascent,unlearned,Extraction,separability_std,-0.0523297485941167,0.6051053145441153,-0.14269609808056172,0.15669370146250117,False,False,negative,100
TOFU_grad_ascent,unlearned,Extraction,separability_max,-0.10343793052255122,0.3057763468538671,-0.043350713340930144,0.6684630766944357,False,False,negative,100
TOFU_grad_ascent,unlearned,Extraction,separability_min,-0.037632229062206764,0.7100993181088465,0.022986765236143892,0.8204178092328159,False,False,negative,100
TOFU_grad_ascent,unlearned,Extraction,centrality_mean,-0.07254159220944685,0.4732251700544109,0.00858601457151984,0.932434527315728,False,False,negative,100
TOFU_grad_ascent,unlearned,Extraction,centrality_std,-0.11725749052543841,0.24529811999109774,-0.09474308298083421,0.3484342922975371,False,False,negative,100
TOFU_grad_ascent,unlearned,Extraction,centrality_max,-0.07879016661019472,0.4358570714943269,-0.0820496378073769,0.41704971156683135,False,False,negative,100
TOFU_grad_ascent,unlearned,Extraction,centrality_min,0.08353547575573428,0.4086351545642238,0.08719629783872022,0.3883327446716812,False,False,positive,100
TOFU_grad_ascent,unlearned,Extraction,isolation_mean,,,,,False,False,negative,100
TOFU_grad_ascent,unlearned,Extraction,isolation_std,,,,,False,False,negative,100
TOFU_grad_ascent,unlearned,Extraction,isolation_max,,,,,False,False,negative,100
TOFU_grad_ascent,unlearned,Extraction,isolation_min,,,,,False,False,negative,100
TOFU_grad_ascent,unlearned,Extraction,cluster_compactness_mean,,,,,False,False,negative,100
TOFU_grad_ascent,unlearned,Extraction,cluster_compactness_std,,,,,False,False,negative,100
TOFU_grad_ascent,unlearned,Extraction,cluster_compactness_max,,,,,False,False,negative,100
TOFU_grad_ascent,unlearned,Extraction,cluster_compactness_min,,,,,False,False,negative,100
TOFU_grad_ascent,unlearned,Extraction,cross_layer_consistency_mean,-0.019016528469578197,0.8510401762655097,0.07180079486660025,0.477767508758419,False,False,negative,100
TOFU_grad_ascent,unlearned,Extraction,cross_layer_consistency_std,-0.10851353413153463,0.2825226806787037,-0.15629565660822686,0.12045510222858358,False,False,negative,100
TOFU_grad_ascent,unlearned,Extraction,cross_layer_consistency_max,-0.019016528469578197,0.8510401762655097,0.07180079486660025,0.477767508758419,False,False,negative,100
TOFU_grad_ascent,unlearned,Extraction,cross_layer_consistency_min,-0.019016528469578197,0.8510401762655097,0.07180079486660025,0.477767508758419,False,False,negative,100
TOFU_idk,base,Unlearning,local_density_mean,0.25233964238462175,0.011315536572453579,0.22727383651958233,0.02296540568284606,True,True,positive,100
TOFU_idk,base,Unlearning,local_density_std,0.2555365240566733,0.010288178014608271,0.3015256598490416,0.0022988438588979394,True,True,positive,100
TOFU_idk,base,Unlearning,local_density_max,0.2732233559871629,0.005951855839008324,0.25867347166709886,0.009360478207156226,True,True,positive,100
TOFU_idk,base,Unlearning,local_density_min,0.17814715749397017,0.07618101916590841,0.17092679363110905,0.08907164382347559,False,False,positive,100
TOFU_idk,base,Unlearning,separability_mean,0.31365818800835715,0.0014842667163169694,0.35160723448091136,0.00033435477044867055,True,True,positive,100
TOFU_idk,base,Unlearning,separability_std,0.04871180777583488,0.6303177465631739,0.1044345117579048,0.3011147206740358,False,False,positive,100
TOFU_idk,base,Unlearning,separability_max,0.2573940204341625,0.009729588080000552,0.2861752626203631,0.0038967922712289183,True,True,positive,100
TOFU_idk,base,Unlearning,separability_min,0.28732627973110747,0.003749268665849525,0.2889465274261685,0.003550073578465008,True,True,positive,100
TOFU_idk,base,Unlearning,centrality_mean,0.19072740033700641,0.05733048051630828,0.2506127057754302,0.011906969477852802,False,True,positive,100
TOFU_idk,base,Unlearning,centrality_std,-0.04267487575827676,0.6733348126408695,-0.07201071352998191,0.4764779741847318,False,False,negative,100
TOFU_idk,base,Unlearning,centrality_max,0.01278435249091466,0.8995408734816795,-0.005687117340609296,0.955217048459637,False,False,positive,100
TOFU_idk,base,Unlearning,centrality_min,0.06040378571020757,0.5505146526806383,0.05616630822722506,0.5788672870238031,False,False,positive,100
TOFU_idk,base,Unlearning,isolation_mean,,,,,False,False,negative,100
TOFU_idk,base,Unlearning,isolation_std,,,,,False,False,negative,100
TOFU_idk,base,Unlearning,isolation_max,,,,,False,False,negative,100
TOFU_idk,base,Unlearning,isolation_min,,,,,False,False,negative,100
TOFU_idk,base,Unlearning,cluster_compactness_mean,,,,,False,False,negative,100
TOFU_idk,base,Unlearning,cluster_compactness_std,,,,,False,False,negative,100
TOFU_idk,base,Unlearning,cluster_compactness_max,,,,,False,False,negative,100
TOFU_idk,base,Unlearning,cluster_compactness_min,,,,,False,False,negative,100
TOFU_idk,base,Unlearning,cross_layer_consistency_mean,0.11894073775906981,0.23854042281768348,0.06848652782833002,0.49837397619813617,False,False,positive,100
TOFU_idk,base,Unlearning,cross_layer_consistency_std,-0.035552089360842296,0.725466695605212,-0.04565488512995077,0.6519576835949895,False,False,negative,100
TOFU_idk,base,Unlearning,cross_layer_consistency_max,0.11894073775906981,0.23854042281768348,0.06848652782833002,0.49837397619813617,False,False,positive,100
TOFU_idk,base,Unlearning,cross_layer_consistency_min,0.11894073775906981,0.23854042281768348,0.06848652782833002,0.49837397619813617,False,False,positive,100
TOFU_idk,base,Extraction,local_density_mean,-0.22833153392232958,0.022319833626247485,-0.20137590585465465,0.04452941363853209,True,True,negative,100
TOFU_idk,base,Extraction,local_density_std,-0.12084960031811137,0.231034786480663,-0.12340393548979735,0.22125190074715456,False,False,negative,100
TOFU_idk,base,Extraction,local_density_max,-0.19004411409541921,0.05824546007975034,-0.16935374673809653,0.09209744539157821,False,False,negative,100
TOFU_idk,base,Extraction,local_density_min,-0.2142400932583482,0.03232374925189382,-0.21641752929827296,0.030566904116289154,True,True,negative,100
TOFU_idk,base,Extraction,separability_mean,-0.280534287250446,0.004697506607776667,-0.30843758112588504,0.0017957292492336182,True,True,negative,100
TOFU_idk,base,Extraction,separability_std,-0.008771685389011557,0.9309769937205674,-0.08459558357061397,0.40269289423120536,False,False,negative,100
TOFU_idk,base,Extraction,separability_max,-0.2065164160087493,0.03925741530317181,-0.25345557005155406,0.01094716360087914,True,True,negative,100
TOFU_idk,base,Extraction,separability_min,-0.25659140977159084,0.009967598999021277,-0.24255671559480904,0.015036455601561931,True,True,negative,100
TOFU_idk,base,Extraction,centrality_mean,-0.1444004850634444,0.15175090003531028,-0.12215147044725426,0.22601157509046618,False,False,negative,100
TOFU_idk,base,Extraction,centrality_std,-0.08050086697098831,0.4259268168900133,-0.03944060590700559,0.6968330554632136,False,False,negative,100
TOFU_idk,base,Extraction,centrality_max,-0.06657660836098792,0.5104568474657889,-0.038242334063418704,0.7056136710152824,False,False,negative,100
TOFU_idk,base,Extraction,centrality_min,0.06423301755042186,0.5254866971332931,0.08570353341594054,0.39653729616143596,False,False,positive,100
TOFU_idk,base,Extraction,isolation_mean,,,,,False,False,negative,100
TOFU_idk,base,Extraction,isolation_std,,,,,False,False,negative,100
TOFU_idk,base,Extraction,isolation_max,,,,,False,False,negative,100
TOFU_idk,base,Extraction,isolation_min,,,,,False,False,negative,100
TOFU_idk,base,Extraction,cluster_compactness_mean,,,,,False,False,negative,100
TOFU_idk,base,Extraction,cluster_compactness_std,,,,,False,False,negative,100
TOFU_idk,base,Extraction,cluster_compactness_max,,,,,False,False,negative,100
TOFU_idk,base,Extraction,cluster_compactness_min,,,,,False,False,negative,100
