experiment,geometry,target,feature,pearson_r,abs_r,p_value,significant,cv_r2_mean,cv_r2_std,coefficient,direction,n_samples
HP,base,Extraction,local_density_max,-0.12675361613963498,0.12675361613963498,0.20887109707396015,False,-15.201913925237003,22.210510288681398,-0.06502923905332351,negative,100
HP,base,Extraction,local_density_min,-0.06920123298116734,0.06920123298116734,0.49389130447998913,False,-14.719502857232737,23.39572959005805,-0.04512233973749762,negative,100
HP,base,Extraction,separability_mean,0.11711916802601827,0.11711916802601827,0.24585926092927213,False,-17.69814563352945,24.70394773062398,1.4389411167124546,positive,100
HP,base,Extraction,separability_std,0.15409769437658175,0.15409769437658175,0.12582827670256322,False,-26.42795228440002,44.94180681830973,13.16668596262359,positive,100
HP,base,Extraction,separability_max,0.12931725089743332,0.12931725089743332,0.19973535688879723,False,-19.68720274810153,28.623172977269615,1.6541424706250372,positive,100
HP,base,Extraction,separability_min,0.062348527419576284,0.062348527419576284,0.5377318363010902,False,-14.473709179152326,21.378934830551007,0.7963836832497826,positive,100
HP,base,Extraction,centrality_mean,0.14883057754784998,0.14883057754784998,0.13945110861911367,False,-18.150398504691957,24.95246650331151,0.99368006298255,positive,100
HP,base,Extraction,centrality_std,0.014778100620832001,0.014778100620832001,0.883975870283274,False,-14.693242465284206,21.629834144931795,0.09510048302409482,positive,100
HP,base,Extraction,centrality_max,0.11188054046174437,0.11188054046174437,0.2677656150824787,False,-16.716552252135433,24.655076802572314,0.2799556645340451,positive,100
HP,base,Extraction,centrality_min,0.06247807013751202,0.06247807013751202,0.5368855931103719,False,-15.164796006741923,20.946412534703484,0.13168895528753227,positive,100
HP,base,Extraction,isolation_mean,,,,False,-14.439411965971019,21.237576704627894,0.0,negative,100
HP,base,Extraction,isolation_std,,,,False,-14.439411965971019,21.237576704627894,0.0,negative,100
HP,base,Extraction,isolation_max,,,,False,-14.439411965971019,21.237576704627894,0.0,negative,100
HP,base,Extraction,isolation_min,,,,False,-14.439411965971019,21.237576704627894,0.0,negative,100
HP,base,Extraction,cluster_compactness_mean,,,,False,-14.439411965971019,21.237576704627894,0.0,negative,100
HP,base,Extraction,cluster_compactness_std,,,,False,-14.439411965971019,21.237576704627894,22.93333333333333,positive,100
HP,base,Extraction,cluster_compactness_max,,,,False,-14.43941196597103,21.237576704627916,1.125,positive,100
HP,base,Extraction,cluster_compactness_min,,,,False,-14.439411965971033,21.237576704627916,-2.25,negative,100
HP,base,Extraction,cross_layer_consistency_mean,0.07761977519755744,0.07761977519755744,0.4427259927264108,False,-16.392247947068242,23.534886114897756,0.47679569833908014,positive,100
HP,base,Extraction,cross_layer_consistency_std,0.12008216975394272,0.12008216975394272,0.23403221220180706,False,-14.103280669834987,17.56850970172711,40.52485176361737,positive,100
HP,base,Extraction,cross_layer_consistency_max,0.07761977519755744,0.07761977519755744,0.4427259927264108,False,-16.392247947068242,23.534886114897756,0.47679569833908014,positive,100
HP,base,Extraction,cross_layer_consistency_min,0.07761977519755744,0.07761977519755744,0.4427259927264108,False,-16.392247947068242,23.534886114897756,0.47679569833908014,positive,100
HP,unlearned,Unlearning,local_density_mean,0.06108170618907093,0.06108170618907093,0.5460419954567226,False,-0.01776440833434645,0.026048809607448885,0.039768848212828195,positive,100
HP,unlearned,Unlearning,local_density_std,0.05197922860502984,0.05197922860502984,0.6075284473512526,False,-0.020622436764918685,0.030902182385487337,0.1480277293196334,positive,100
HP,unlearned,Unlearning,local_density_max,0.06355141951035127,0.06355141951035127,0.5298993571982408,False,-0.01996238938982846,0.02477138057284877,0.03539910106484553,positive,100
HP,unlearned,Unlearning,local_density_min,0.03974539708581938,0.03974539708581938,0.6946059369999608,False,-0.020752818708946342,0.025961776083033142,0.028361399333428294,positive,100
HP,unlearned,Unlearning,separability_mean,-0.12576613951577206,0.12576613951577206,0.2124683896528806,False,-0.0017492974170940645,0.03526692971112933,-1.4954561141540965,negative,100
HP,unlearned,Unlearning,separability_std,-0.243031631452697,0.243031631452697,0.014833922786195611,True,-0.04504859449747116,0.11987007477361471,-21.74827009594218,negative,100
HP,unlearned,Unlearning,separability_max,-0.13350357238716223,0.13350357238716223,0.1854408914280227,False,-0.0015706729950383247,0.03243926904202579,-1.747639846976767,negative,100
HP,unlearned,Unlearning,separability_min,-0.032219604986604505,0.032219604986604505,0.7503120833066207,False,-0.021193929441841064,0.027542468493792757,-0.4006678964018518,negative,100
HP,unlearned,Unlearning,centrality_mean,-0.035351177504671885,0.035351177504671885,0.7269568609051356,False,-0.021612231236904412,0.02976361565409747,-0.13015493958075844,negative,100
HP,unlearned,Unlearning,centrality_std,0.12555389295074532,0.12555389295074532,0.21324730407102183,False,-0.008106286046676913,0.04300630100825873,0.733515941596697,positive,100
HP,unlearned,Unlearning,centrality_max,0.08614032923603922,0.08614032923603922,0.3941259782124325,False,-0.020573909590351037,0.02677676937311242,0.21843834879072913,positive,100
HP,unlearned,Unlearning,centrality_min,-0.1351179996557888,0.1351179996557888,0.18013226291522336,False,-0.0037169922120331433,0.041330031021145706,-0.20853673287230778,negative,100
HP,unlearned,Unlearning,isolation_mean,,,,False,-0.019303737919414178,0.02787745566763505,0.0,negative,100
HP,unlearned,Unlearning,isolation_std,,,,False,-0.019303737919414178,0.02787745566763505,0.0,negative,100
HP,unlearned,Unlearning,isolation_max,,,,False,-0.019303737919414178,0.02787745566763505,0.0,negative,100
HP,unlearned,Unlearning,isolation_min,,,,False,-0.019303737919414178,0.02787745566763505,0.0,negative,100
HP,unlearned,Unlearning,cluster_compactness_mean,,,,False,-0.019303737919414265,0.02787745566763514,-5.95,negative,100
