experiment,geometry,target,feature,mutual_info,n_samples
TOFU_grad_ascent,unlearned,Extraction,cross_layer_consistency_min,0.0,100
TOFU_idk,base,Unlearning,local_density_mean,0.0937494257085616,100
TOFU_idk,base,Unlearning,local_density_std,0.0,100
TOFU_idk,base,Unlearning,local_density_max,0.07332277453368663,100
TOFU_idk,base,Unlearning,local_density_min,0.037971383142323845,100
TOFU_idk,base,Unlearning,separability_mean,0.11121615747059899,100
TOFU_idk,base,Unlearning,separability_std,0.07979354426785168,100
TOFU_idk,base,Unlearning,separability_max,0.0,100
TOFU_idk,base,Unlearning,separability_min,0.029969463476273273,100
TOFU_idk,base,Unlearning,centrality_mean,0.049967574457229436,100
TOFU_idk,base,Unlearning,centrality_std,0.0,100
TOFU_idk,base,Unlearning,centrality_max,0.0,100
TOFU_idk,base,Unlearning,centrality_min,0.0,100
TOFU_idk,base,Unlearning,isolation_mean,0.0,100
TOFU_idk,base,Unlearning,isolation_std,0.0,100
TOFU_idk,base,Unlearning,isolation_max,0.0,100
TOFU_idk,base,Unlearning,isolation_min,0.0,100
TOFU_idk,base,Unlearning,cluster_compactness_mean,0.016167604459564888,100
TOFU_idk,base,Unlearning,cluster_compactness_std,0.009163528729212667,100
TOFU_idk,base,Unlearning,cluster_compactness_max,0.0,100
TOFU_idk,base,Unlearning,cluster_compactness_min,0.007872445736768374,100
TOFU_idk,base,Unlearning,cross_layer_consistency_mean,0.0,100
TOFU_idk,base,Unlearning,cross_layer_consistency_std,0.019264599744435396,100
TOFU_idk,base,Unlearning,cross_layer_consistency_max,0.0,100
TOFU_idk,base,Unlearning,cross_layer_consistency_min,0.0,100
TOFU_idk,base,Extraction,local_density_mean,0.11419069753833089,100
TOFU_idk,base,Extraction,local_density_std,0.0,100
TOFU_idk,base,Extraction,local_density_max,0.06344171159672962,100
TOFU_idk,base,Extraction,local_density_min,0.0034917278823964892,100
TOFU_idk,base,Extraction,separability_mean,0.03006668384817557,100
TOFU_idk,base,Extraction,separability_std,0.0,100
TOFU_idk,base,Extraction,separability_max,0.015412020834593587,100
TOFU_idk,base,Extraction,separability_min,0.0980690618155311,100
TOFU_idk,base,Extraction,centrality_mean,0.16976516613660841,100
TOFU_idk,base,Extraction,centrality_std,0.06890297911196619,100
TOFU_idk,base,Extraction,centrality_max,0.0,100
TOFU_idk,base,Extraction,centrality_min,0.0,100
TOFU_idk,base,Extraction,isolation_mean,0.0,100
TOFU_idk,base,Extraction,isolation_std,0.0,100
TOFU_idk,base,Extraction,isolation_max,0.0,100
TOFU_idk,base,Extraction,isolation_min,0.03532334517003766,100
TOFU_idk,base,Extraction,cluster_compactness_mean,0.005615592846250017,100
TOFU_idk,base,Extraction,cluster_compactness_std,0.0,100
TOFU_idk,base,Extraction,cluster_compactness_max,0.045562515468681175,100
TOFU_idk,base,Extraction,cluster_compactness_min,0.023206791225062418,100
TOFU_idk,base,Extraction,cross_layer_consistency_mean,0.027936479098220612,100
TOFU_idk,base,Extraction,cross_layer_consistency_std,0.0,100
TOFU_idk,base,Extraction,cross_layer_consistency_max,0.03052314183348992,100
