experiment,feature,base_mean,unlearned_mean,diff_mean,diff_pct,t_statistic,t_pvalue,u_pvalue,cohens_d,abs_cohens_d,significant
TOFU_grad_ascent,separability_max,0.9956530141050925,1.0072581632628745,-0.011605149157781991,-1.1655816829131853,-6.092106054898287,5.7062890955668896e-09,1.1043867985615235e-08,-0.8615539006252411,0.8615539006252411,True
TOFU_grad_ascent,separability_min,0.9853944427791681,0.9837523971306785,0.0016420456484895762,0.16663841170632285,0.7547242505338538,0.4513111873889102,0.09157258537979468,0.10673412709568457,0.10673412709568457,False
TOFU_grad_ascent,centrality_mean,0.9988353130443319,1.0057251953975643,-0.006889882353232402,-0.6897916266329086,-1.1128070302821207,0.26714051751513895,0.3019167066462295,-0.15737467945291028,0.15737467945291028,False
TOFU_grad_ascent,centrality_std,0.17908585966425952,0.2062215304483319,-0.02713567078407239,-15.152324608400058,-4.544344297896557,9.574586418904797e-06,4.1096294324973784e-05,-0.642667333817815,0.642667333817815,True
TOFU_grad_ascent,centrality_max,1.3386781188531187,1.3763178541931964,-0.037639735340077696,-2.811709163687882,-2.6290168885395957,0.009235320818342859,0.03445099760498204,-0.3717991339480612,0.3717991339480612,True
TOFU_grad_ascent,centrality_min,0.6897484654225623,0.6253477150642236,0.0644007503583387,9.33684576143054,4.893574291965285,2.0479091450326124e-06,1.1358643463305488e-05,0.6920559132177622,0.6920559132177622,True
TOFU_grad_ascent,isolation_mean,1.0,1.0,0.0,0.0,,,1.0,0.0,0.0,False
TOFU_grad_ascent,isolation_std,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,False
TOFU_grad_ascent,isolation_max,1.0,1.0,0.0,0.0,,,1.0,0.0,0.0,False
TOFU_grad_ascent,isolation_min,1.0,1.0,0.0,0.0,,,1.0,0.0,0.0,False
TOFU_grad_ascent,cluster_compactness_mean,0.03362534792988331,0.050142108506826294,-0.016516760576942985,-49.119969290382606,-1.6747007920318706e+16,0.0,3.5216158823946e-45,-2368384573008435.5,2368384573008435.5,True
TOFU_grad_ascent,cluster_compactness_std,0.0032006026874972985,0.0051363973108599,-0.0019357946233626018,-60.48219077377237,-1.4804214102805944e+16,0.0,3.5216158823946e-45,-2093632036446320.2,2093632036446320.2,True
TOFU_grad_ascent,cluster_compactness_max,0.040518154564210304,0.06219911908688689,-0.021680964522676587,-53.509259629083374,-2.1983202026206076e+16,0.0,3.5216158823946e-45,-3108894244984833.5,3108894244984833.5,True
TOFU_grad_ascent,cluster_compactness_min,0.029411998244414303,0.04311752046330921,-0.013705522218894907,-46.59840553845318,-1.7577938135769488e+16,0.0,3.5216158823946e-45,-2485895851016044.5,2485895851016044.5,True
TOFU_grad_ascent,cross_layer_consistency_mean,0.603368,0.641845,-0.03847699999999998,-6.377036899537261,-19.03248176572243,1.341968950195025e-46,4.397958807473854e-30,-2.6915993838703294,2.6915993838703294,True
TOFU_grad_ascent,cross_layer_consistency_std,0.00038583299999999987,0.000356519,2.931399999999985e-05,7.597587557311028,0.5846829300602772,0.5594265720638034,0.5956158632385786,0.08268665293792837,0.08268665293792837,False
TOFU_grad_ascent,cross_layer_consistency_max,0.603368,0.641845,-0.03847699999999998,-6.377036899537261,-19.03248176572243,1.341968950195025e-46,4.397958807473854e-30,-2.6915993838703294,2.6915993838703294,True
TOFU_grad_ascent,cross_layer_consistency_min,0.603368,0.641845,-0.03847699999999998,-6.377036899537261,-19.03248176572243,1.341968950195025e-46,4.397958807473854e-30,-2.6915993838703294,2.6915993838703294,True
TOFU_idk,local_density_mean,1.6735428933509597,1.7248535854018567,-0.051310692050897,-3.065992049248098,-1.444355521480803,0.15021954585897523,0.1497605554233568,-0.2042627167366616,0.2042627167366616,False
TOFU_idk,local_density_std,0.1348697138437005,0.16018549084440947,-0.025315777000708972,-18.77054253266025,-1.7269732760428753,0.08573201990014268,0.11931376878804963,-0.24423090288357294,0.24423090288357294,False
TOFU_idk,local_density_max,1.9328182949024189,2.0073739888339004,-0.07455569393148154,-3.857356593121734,-1.3557336866716692,0.17672820709636763,0.1039336368052851,-0.19172969666571504,0.19172969666571504,False
TOFU_idk,local_density_min,1.4969053551737057,1.5121984106222084,-0.01529305544850268,-1.0216447817255636,-0.5661077332615092,0.5719615957147732,0.5683173956859687,-0.08005972341427169,0.08005972341427169,False
