experiment,geometry,target,feature,pearson_r,p_value,significant,cv_r2_mean,cv_r2_std,direction
HP,base,Prompt,cross_layer_consistency_max,0.11714820785561368,0.2457413799319549,False,-1.185500875003048,2.270391330304489,+
HP,base,Prompt,cross_layer_consistency_min,0.11714820785561368,0.2457413799319549,False,-1.185500875003048,2.270391330304489,+
HP,unlearned,Unlearning,local_density_mean,0.06108170618907093,0.5460419954567226,False,-0.01776440833434645,0.026048809607448885,+
HP,unlearned,Unlearning,local_density_std,0.05197922860502984,0.6075284473512526,False,-0.020622436764918685,0.030902182385487337,+
HP,unlearned,Unlearning,local_density_max,0.06355141951035127,0.5298993571982408,False,-0.01996238938982846,0.02477138057284877,+
HP,unlearned,Unlearning,local_density_min,0.03974539708581938,0.6946059369999608,False,-0.020752818708946342,0.025961776083033142,+
HP,unlearned,Unlearning,separability_mean,-0.12576613951577206,0.2124683896528806,False,-0.0017492974170940645,0.03526692971112933,-
HP,unlearned,Unlearning,separability_std,-0.243031631452697,0.014833922786195611,True,-0.04504859449747116,0.11987007477361471,-
HP,unlearned,Unlearning,separability_max,-0.13350357238716223,0.1854408914280227,False,-0.0015706729950383247,0.03243926904202579,-
HP,unlearned,Unlearning,separability_min,-0.032219604986604505,0.7503120833066207,False,-0.021193929441841064,0.027542468493792757,-
HP,unlearned,Unlearning,centrality_mean,-0.035351177504671885,0.7269568609051356,False,-0.021612231236904412,0.02976361565409747,-
HP,unlearned,Unlearning,centrality_std,0.12555389295074532,0.21324730407102183,False,-0.008106286046676913,0.04300630100825873,+
HP,unlearned,Unlearning,centrality_max,0.08614032923603922,0.3941259782124325,False,-0.020573909590351037,0.02677676937311242,+
HP,unlearned,Unlearning,centrality_min,-0.1351179996557888,0.18013226291522336,False,-0.0037169922120331433,0.041330031021145706,-
HP,unlearned,Unlearning,isolation_mean,,,False,-0.019303737919414178,0.02787745566763505,-
HP,unlearned,Unlearning,isolation_std,,,False,-0.019303737919414178,0.02787745566763505,-
