experiment,geometry,target,feature,importance,importance_std,cv_r2
HP,unlearned,Unlearning,centrality_mean,0.011733834602809624,0.003634819995121003,-0.0416230884511936
HP,unlearned,Unlearning,centrality_std,0.07739950188191763,0.022547190027380058,-0.0416230884511936
HP,unlearned,Unlearning,centrality_max,0.1166083384887566,0.010403537078301167,-0.0416230884511936
HP,unlearned,Unlearning,centrality_min,0.06067485673795804,0.017490590432441614,-0.0416230884511936
HP,unlearned,Unlearning,cross_layer_consistency_mean,0.013207221339309284,0.0035508197349389493,-0.0416230884511936
HP,unlearned,Unlearning,cross_layer_consistency_std,0.07308163628570263,0.02858512588577138,-0.0416230884511936
HP,unlearned,Unlearning,cross_layer_consistency_max,0.0038553650110017103,0.0019154882971324867,-0.0416230884511936
HP,unlearned,Unlearning,cross_layer_consistency_min,0.013522574975753354,0.0036949058432655104,-0.0416230884511936
HP,unlearned,Embedding,local_density_mean,0.026518455274278107,0.004901471536388972,-0.3785908528602326
HP,unlearned,Embedding,local_density_std,0.1775501413468636,0.05233296602801822,-0.3785908528602326
HP,unlearned,Embedding,local_density_max,0.05305350702000514,0.010094436367647001,-0.3785908528602326
HP,unlearned,Embedding,local_density_min,0.03581761533652551,0.005196506740932086,-0.3785908528602326
HP,unlearned,Embedding,separability_mean,0.057175800674474475,0.008490229336302295,-0.3785908528602326
HP,unlearned,Embedding,separability_std,0.11196900178273061,0.014951572421521913,-0.3785908528602326
HP,unlearned,Embedding,separability_max,0.033416113501342846,0.006851900179756474,-0.3785908528602326
HP,unlearned,Embedding,separability_min,0.0359024583613355,0.008695947087825631,-0.3785908528602326
HP,unlearned,Embedding,centrality_mean,0.09642379891736966,0.015564867806115032,-0.3785908528602326
HP,unlearned,Embedding,centrality_std,0.07776445814599534,0.013537117642415468,-0.3785908528602326
HP,unlearned,Embedding,centrality_max,0.039620309590503736,0.0046679280648713375,-0.3785908528602326
HP,unlearned,Embedding,centrality_min,0.06384175138162199,0.014628377888046043,-0.3785908528602326
HP,unlearned,Embedding,cross_layer_consistency_mean,0.12603893922280185,0.01597583806225023,-0.3785908528602326
HP,unlearned,Embedding,cross_layer_consistency_std,0.032513686305271364,0.013080562806698122,-0.3785908528602326
HP,unlearned,Embedding,cross_layer_consistency_max,0.06285169851045146,0.01006264673855074,-0.3785908528602326
HP,unlearned,Embedding,cross_layer_consistency_min,0.11889843909380766,0.015155112962225343,-0.3785908528602326
TOFU_grad_diff,base,Unlearning,local_density_mean,0.008928967429399092,0.0022015487050428585,0.4380988599425232
TOFU_grad_diff,base,Unlearning,local_density_std,0.06219252105318525,0.009716610763016815,0.4380988599425232
TOFU_grad_diff,base,Unlearning,local_density_max,0.010566304619723799,0.0014026289909844873,0.4380988599425232
TOFU_grad_diff,base,Unlearning,local_density_min,0.003591996816601317,0.000865802846758247,0.4380988599425232
TOFU_grad_diff,base,Unlearning,separability_mean,0.1780117671860777,0.023948910763755382,0.4380988599425232
TOFU_grad_diff,base,Unlearning,separability_std,0.017098495079252173,0.003934409934096828,0.4380988599425232
TOFU_grad_diff,base,Unlearning,separability_max,0.09999706305749785,0.017361120480758014,0.4380988599425232
TOFU_grad_diff,base,Unlearning,separability_min,0.06266031222646609,0.014321519422318088,0.4380988599425232
TOFU_grad_diff,base,Unlearning,centrality_mean,0.05859963630901971,0.016287145747350455,0.4380988599425232
TOFU_grad_diff,base,Unlearning,centrality_std,0.18276616942149987,0.028986189244212025,0.4380988599425232
TOFU_grad_diff,base,Unlearning,centrality_max,0.009922497705481603,0.003038233859485418,0.4380988599425232
TOFU_grad_diff,base,Unlearning,centrality_min,0.09470037303308211,0.03131388884945404,0.4380988599425232
TOFU_grad_diff,base,Unlearning,cross_layer_consistency_mean,0.0070217274571739655,0.0018851401787021744,0.4380988599425232
TOFU_grad_diff,base,Unlearning,cross_layer_consistency_std,0.002496052047651809,0.00163892332638593,0.4380988599425232
TOFU_grad_diff,base,Unlearning,cross_layer_consistency_max,0.010299590300648153,0.00353485186787321,0.4380988599425232
TOFU_grad_diff,base,Unlearning,cross_layer_consistency_min,0.011617657911574032,0.0036149802123957918,0.4380988599425232
TOFU_grad_diff,base,Steering,local_density_mean,0.012557352077656358,0.0030821226750441626,0.3682847359857182
TOFU_grad_diff,base,Steering,local_density_std,0.04523209232918126,0.007790578483851348,0.3682847359857182
TOFU_grad_diff,base,Steering,local_density_max,0.01557318800967188,0.002815079274269903,0.3682847359857182
TOFU_grad_diff,base,Steering,local_density_min,0.005928577224042786,0.0015010618937720472,0.3682847359857182
TOFU_grad_diff,base,Steering,separability_mean,0.1930253098368106,0.018724503027234177,0.3682847359857182
TOFU_grad_diff,base,Steering,separability_std,0.007664435793814229,0.0022701326534349,0.3682847359857182
TOFU_grad_diff,base,Steering,separability_max,0.19904616691665566,0.018455645340990548,0.3682847359857182
TOFU_grad_diff,base,Steering,separability_min,0.06097761681117715,0.010895745385479572,0.3682847359857182
TOFU_grad_diff,base,Steering,centrality_mean,0.0606603416950036,0.022139809135466957,0.3682847359857182
TOFU_grad_diff,base,Steering,centrality_std,0.04172638427387,0.010325054954923557,0.3682847359857182
TOFU_grad_diff,base,Steering,centrality_max,0.020984713662659738,0.00379910023733495,0.3682847359857182
TOFU_grad_diff,base,Steering,centrality_min,0.06351947319555715,0.0209967393873142,0.3682847359857182
TOFU_grad_diff,base,Steering,cross_layer_consistency_mean,0.014026960423180168,0.0040430609404329436,0.3682847359857182
TOFU_grad_diff,base,Steering,cross_layer_consistency_std,0.002382251332040042,0.0011758769572412571,0.3682847359857182
TOFU_grad_diff,base,Steering,cross_layer_consistency_max,0.014180270958934604,0.004733702190897967,0.3682847359857182
TOFU_grad_diff,base,Steering,cross_layer_consistency_min,0.013744816740613341,0.004443933512886584,0.3682847359857182
TOFU_grad_diff,base,Prompt,local_density_mean,0.019029120019683876,0.002272468542813128,0.23077128084007476
TOFU_grad_diff,base,Prompt,local_density_std,0.027086008737452306,0.005097007779337156,0.23077128084007476
TOFU_grad_diff,base,Prompt,local_density_max,0.016487357638289346,0.0031132510890329703,0.23077128084007476
TOFU_grad_diff,base,Prompt,local_density_min,0.019258700999698074,0.004218577191340259,0.23077128084007476
TOFU_grad_diff,base,Prompt,separability_mean,0.08650799931922967,0.01272053877138879,0.23077128084007476
TOFU_grad_diff,base,Prompt,separability_std,0.013216571028180047,0.0024527493904640163,0.23077128084007476
TOFU_grad_diff,base,Prompt,separability_max,0.03491203206040776,0.004967317844282187,0.23077128084007476
TOFU_grad_diff,base,Prompt,separability_min,0.2541201490614447,0.044290788263102815,0.23077128084007476
TOFU_grad_diff,base,Prompt,centrality_mean,0.03883653803151752,0.006220888553737526,0.23077128084007476
TOFU_grad_diff,base,Prompt,centrality_std,0.07890578610988906,0.01630695692418928,0.23077128084007476
TOFU_grad_diff,base,Prompt,centrality_max,0.025048154566093474,0.002972382888204497,0.23077128084007476
TOFU_grad_diff,base,Prompt,centrality_min,0.16960795700029005,0.041529560867314935,0.23077128084007476
TOFU_grad_diff,base,Prompt,cross_layer_consistency_mean,0.02010377272098417,0.0036391479541501835,0.23077128084007476
TOFU_grad_diff,base,Prompt,cross_layer_consistency_std,0.005682940951566073,0.001116628550730876,0.23077128084007476
TOFU_grad_diff,base,Prompt,cross_layer_consistency_max,0.025048326179843573,0.00497471383760676,0.23077128084007476
TOFU_grad_diff,base,Prompt,cross_layer_consistency_min,0.015206718653690355,0.004689622235705891,0.23077128084007476
TOFU_grad_diff,unlearned,Unlearning,local_density_mean,0.01566550418836806,0.004543716881109367,0.24614548690817833
TOFU_grad_diff,unlearned,Unlearning,local_density_std,0.0070780649217266015,0.0013678478730744896,0.24614548690817833
TOFU_grad_diff,unlearned,Unlearning,local_density_max,0.00675627174011525,0.0017012206604831107,0.24614548690817833
TOFU_grad_diff,unlearned,Unlearning,local_density_min,0.02201140933691287,0.005270497173473623,0.24614548690817833
TOFU_grad_diff,unlearned,Unlearning,separability_mean,0.5067935820396035,0.058916609227478066,0.24614548690817833
TOFU_grad_diff,unlearned,Unlearning,separability_std,0.06647788002399507,0.006163887481605672,0.24614548690817833
TOFU_grad_diff,unlearned,Unlearning,separability_max,0.03428534891398834,0.007267755697283655,0.24614548690817833
TOFU_grad_diff,unlearned,Unlearning,separability_min,0.11393940861032607,0.014101740638631517,0.24614548690817833
TOFU_grad_diff,unlearned,Unlearning,centrality_mean,0.027388195075612465,0.006089811125338279,0.24614548690817833
TOFU_grad_diff,unlearned,Unlearning,centrality_std,0.01826403747552959,0.0031389369305113704,0.24614548690817833
TOFU_grad_diff,unlearned,Unlearning,centrality_max,0.09379048839078521,0.019206367479921164,0.24614548690817833
TOFU_grad_diff,unlearned,Unlearning,centrality_min,0.01209932881265533,0.0024782192767553537,0.24614548690817833
TOFU_grad_diff,unlearned,Unlearning,cross_layer_consistency_mean,0.005674061656943852,0.001957140254585301,0.24614548690817833
TOFU_grad_diff,unlearned,Unlearning,cross_layer_consistency_std,0.007685512245997839,0.00166717677676722,0.24614548690817833
TOFU_grad_diff,unlearned,Unlearning,cross_layer_consistency_max,0.009930073415204955,0.00580151261454419,0.24614548690817833
TOFU_grad_diff,unlearned,Unlearning,cross_layer_consistency_min,0.011418572331152644,0.004486314313243571,0.24614548690817833
TOFU_grad_diff,unlearned,Steering,local_density_mean,0.01864868614956796,0.005184836894298693,0.21113299309586112
TOFU_grad_diff,unlearned,Steering,local_density_std,0.005344725135216622,0.001196978949359353,0.21113299309586112
TOFU_grad_diff,unlearned,Steering,local_density_max,0.006121027475985874,0.0026915569441544832,0.21113299309586112
TOFU_grad_diff,unlearned,Steering,local_density_min,0.02246340011590934,0.003283922756580693,0.21113299309586112
TOFU_grad_diff,unlearned,Steering,separability_mean,0.3194893460156572,0.028237311282711692,0.21113299309586112
TOFU_grad_diff,unlearned,Steering,separability_std,0.017111767772199016,0.002436372619523837,0.21113299309586112
TOFU_grad_diff,unlearned,Steering,separability_max,0.029441846217308564,0.0048212953640059866,0.21113299309586112
TOFU_grad_diff,unlearned,Steering,separability_min,0.2163646684079894,0.021617131819165965,0.21113299309586112
TOFU_grad_diff,unlearned,Steering,centrality_mean,0.004726404621713054,0.000992596402097862,0.21113299309586112
