experiment,geometry,target,feature,pearson_r,pearson_p,spearman_r,spearman_p,significant,direction,n
HP,unlearned,Unlearning,centrality_min,-0.1351179996557888,0.18013226291522336,-0.06822902030327516,0.49999428306663585,False,-,100
HP,unlearned,Unlearning,isolation_mean,,,,,False,-,100
HP,unlearned,Unlearning,isolation_std,,,,,False,-,100
HP,unlearned,Unlearning,isolation_max,,,,,False,-,100
HP,unlearned,Unlearning,isolation_min,,,,,False,-,100
HP,unlearned,Unlearning,cluster_compactness_mean,,,,,False,-,100
HP,unlearned,Unlearning,cluster_compactness_std,,,,,False,-,100
HP,unlearned,Unlearning,cluster_compactness_max,,,,,False,-,100
HP,unlearned,Unlearning,cluster_compactness_min,,,,,False,-,100
HP,unlearned,Unlearning,cross_layer_consistency_mean,-0.015383976721292502,0.8792542975410197,-0.029575044479465157,0.7702132027857334,False,-,100
HP,unlearned,Unlearning,cross_layer_consistency_std,-0.07360499164929922,0.466745838689244,-0.06697813466805294,0.5079041829475331,False,-,100
HP,unlearned,Unlearning,cross_layer_consistency_max,-0.015383976721292502,0.8792542975410197,-0.029575044479465157,0.7702132027857334,False,-,100
HP,unlearned,Unlearning,cross_layer_consistency_min,-0.015383976721292502,0.8792542975410197,-0.029575044479465157,0.7702132027857334,False,-,100
HP,unlearned,Steering,local_density_mean,-0.0614901864250092,0.5433555917727054,-0.18720568841677845,0.06217507985300895,False,-,100
HP,unlearned,Steering,local_density_std,-0.04272147495888562,0.6729984686291175,-0.09979775741955334,0.32320190173929997,False,-,100
HP,unlearned,Steering,local_density_max,-0.05479108996320962,0.5882117326972134,-0.1626004109069548,0.1060214120615275,False,-,100
HP,unlearned,Steering,local_density_min,-0.0384167546400526,0.7043331279303284,-0.11176541197860221,0.2682614265849811,False,-,100
HP,unlearned,Steering,separability_mean,0.1341271948407038,0.1833769260325612,0.08290170523917834,0.4122120673974986,False,+,100
HP,unlearned,Steering,separability_std,0.2673752836140174,0.007160525957345126,0.17078687399489312,0.08933754689242454,True,+,100
HP,unlearned,Steering,separability_max,0.1509459425419429,0.133851481006006,0.14531889746010734,0.14913640785625362,False,+,100
HP,unlearned,Steering,separability_min,0.04145898730077533,0.682133426511577,-0.022824813564689087,0.8216620095151166,False,+,100
HP,unlearned,Steering,centrality_mean,0.03507725856098624,0.7289901590816618,0.07033750348201737,0.48680852244812867,False,+,100
HP,unlearned,Steering,centrality_std,-0.13852653545160346,0.1692909020993064,-0.06484926925938604,0.521513082140383,False,-,100
HP,unlearned,Steering,centrality_max,-0.09058847064035346,0.3700710653307434,-0.01586815546978184,0.8754841369847697,False,-,100
HP,unlearned,Steering,centrality_min,0.15198495789984984,0.1311645859287907,0.06351851012513599,0.5301128804966759,False,+,100
HP,unlearned,Steering,isolation_mean,,,,,False,-,100
HP,unlearned,Steering,isolation_std,,,,,False,-,100
HP,unlearned,Steering,isolation_max,,,,,False,-,100
HP,unlearned,Steering,isolation_min,,,,,False,-,100
HP,unlearned,Steering,cluster_compactness_mean,,,,,False,-,100
HP,unlearned,Steering,cluster_compactness_std,,,,,False,-,100
HP,unlearned,Steering,cluster_compactness_max,,,,,False,-,100
HP,unlearned,Steering,cluster_compactness_min,,,,,False,-,100
HP,unlearned,Steering,cross_layer_consistency_mean,0.00716021768105977,0.9436342474107972,-0.0067331593584083905,0.9469910524124798,False,+,100
HP,unlearned,Steering,cross_layer_consistency_std,0.10432617116338151,0.3016192264228952,0.07417800314177862,0.4632746558146901,False,+,100
HP,unlearned,Steering,cross_layer_consistency_max,0.00716021768105977,0.9436342474107972,-0.0067331593584083905,0.9469910524124798,False,+,100
HP,unlearned,Steering,cross_layer_consistency_min,0.00716021768105977,0.9436342474107972,-0.0067331593584083905,0.9469910524124798,False,+,100
HP,unlearned,Prompt,local_density_mean,-0.1218796468678907,0.22705400283674795,-0.12752354811423033,0.20609660436574934,False,-,100
HP,unlearned,Prompt,local_density_std,-0.07174913249334995,0.47808515966726656,0.011866071864718476,0.9067229860421104,False,-,100
HP,unlearned,Prompt,local_density_max,-0.10390477687439037,0.3035867838148163,-0.0650022437431105,0.5205290605482946,False,-,100
HP,unlearned,Prompt,local_density_min,-0.09130823120134461,0.36626492292712953,-0.10240403697282491,0.31066203507793955,False,-,100
HP,unlearned,Prompt,separability_mean,0.1693114134843571,0.09217998412307117,0.1337095745746544,0.18475723593185264,False,+,100
HP,unlearned,Prompt,separability_std,0.272890777279971,0.006015396861957769,0.18931036385548453,0.059241280581228954,True,+,100
HP,unlearned,Prompt,separability_max,0.1877885021331245,0.06135106426473558,0.17223758370349615,0.08661099801551242,False,+,100
HP,unlearned,Prompt,separability_min,0.0790714491779388,0.434215314758845,0.020435105879817787,0.8400708003098751,False,+,100
HP,unlearned,Prompt,centrality_mean,0.012247511990613039,0.9037386975252625,-0.02163477064193169,0.8308179203550012,False,+,100
HP,unlearned,Prompt,centrality_std,-0.10632223669016233,0.29241307552237134,-0.005851426084596387,0.9539246037032978,False,-,100
HP,unlearned,Prompt,centrality_max,-0.1201622039261237,0.23371835400791557,-0.04995338781564084,0.6216156741122716,False,-,100
HP,unlearned,Prompt,centrality_min,0.11261601423013418,0.2646128664524936,0.021928566093877958,0.8285553737180309,False,+,100
HP,unlearned,Prompt,isolation_mean,,,,,False,-,100
HP,unlearned,Prompt,isolation_std,,,,,False,-,100
HP,unlearned,Prompt,isolation_max,,,,,False,-,100
HP,unlearned,Prompt,isolation_min,,,,,False,-,100
HP,unlearned,Prompt,cluster_compactness_mean,,,,,False,-,100
HP,unlearned,Prompt,cluster_compactness_std,,,,,False,-,100
HP,unlearned,Prompt,cluster_compactness_max,,,,,False,-,100
HP,unlearned,Prompt,cluster_compactness_min,,,,,False,-,100
HP,unlearned,Prompt,cross_layer_consistency_mean,-0.002762929172182149,0.978234836500449,-0.05217550432141093,0.6061710745637577,False,-,100
HP,unlearned,Prompt,cross_layer_consistency_std,0.04924211984946308,0.6265945859657476,-0.005785298738504735,0.9544447441029303,False,+,100
HP,unlearned,Prompt,cross_layer_consistency_max,-0.002762929172182149,0.978234836500449,-0.05217550432141093,0.6061710745637577,False,-,100
HP,unlearned,Prompt,cross_layer_consistency_min,-0.002762929172182149,0.978234836500449,-0.05217550432141093,0.6061710745637577,False,-,100
HP,unlearned,Embedding,local_density_mean,0.10981757550304574,0.27674412891718236,0.06686553299741073,0.5086193710505231,False,+,100
